fileName,mode,time,pps,score,lines,pieces,finished,goal,timeStamp
2018_12_31_12_20_25.rep,MARATHON,27868,0.83970284,429000,150,391,False,150,2018-12-31T12-20-25
2018_12_31_12_45_01.rep,LINE RACE,4705,1.2882653,0,40,102,False,40,2018-12-31T12-45-01
2018_12_31_12_47_45.rep,LINE RACE,4445,1.4041405,0,40,105,False,40,2018-12-31T12-47-45
2018_12_31_12_53_38.rep,LINE RACE,4297,1.4385475,0,40,104,False,40,2018-12-31T12-53-38
2018_12_31_13_00_37.rep,LINE RACE,4868,1.2944319,0,40,106,False,40,2018-12-31T13-00-37
2018_12_31_13_03_18.rep,LINE RACE,4380,1.4112811,0,40,104,False,40,2018-12-31T13-03-18
2018_12_31_13_05_37.rep,LINE RACE,5376,1.172093,0,41,106,True,40,2018-12-31T13-05-37
2018_12_31_13_07_36.rep,LINE RACE,5015,1.2923813,0,41,109,True,40,2018-12-31T13-07-36
2018_12_31_13_09_24.rep,LINE RACE,4114,1.487965,0,40,103,False,40,2018-12-31T13-09-24
2018_12_31_13_15_12.rep,LINE RACE,4833,1.2665563,0,40,103,False,40,2018-12-31T13-15-12
2018_12_31_13_19_36.rep,LINE RACE,4950,1.2487371,0,41,104,True,40,2018-12-31T13-19-36
2018_12_31_13_21_16.rep,LINE RACE,4689,1.3694539,0,40,108,False,40,2018-12-31T13-21-16
2018_12_31_13_23_50.rep,LINE RACE,5817,1.176066,0,40,115,False,40,2018-12-31T13-23-50
2018_12_31_13_28_11.rep,LINE RACE,5266,1.1737891,0,40,104,False,40,2018-12-31T13-28-11
2018_12_31_13_33_29.rep,LINE RACE,5245,1.2929062,0,42,114,True,40,2018-12-31T13-33-29
2018_12_31_13_35_14.rep,LINE RACE,4355,1.3918236,0,40,102,False,40,2018-12-31T13-35-14
2018_12_31_13_37_05.rep,LINE RACE,5355,1.1654837,0,40,105,False,40,2018-12-31T13-37-05
2018_12_31_13_39_49.rep,LINE RACE,4836,1.2657704,0,40,103,False,40,2018-12-31T13-39-49
2018_12_31_13_43_19.rep,LINE RACE,4813,1.296758,0,40,105,False,40,2018-12-31T13-43-19
2018_12_31_13_48_41.rep,LINE RACE,4361,1.4311926,0,40,105,False,40,2018-12-31T13-48-41
2018_12_31_13_54_47.rep,LINE RACE,4673,1.2970891,0,40,102,False,40,2018-12-31T13-54-47
2018_12_31_13_59_20.rep,LINE RACE,5443,1.1466373,0,41,105,True,40,2018-12-31T13-59-20
2019_01_01_08_20_03.rep,LINE RACE,5200,1.2002308,0,40,105,False,40,2019-01-01T08-20-03
2019_01_01_08_21_46.rep,LINE RACE,4672,1.3102119,0,40,103,False,40,2019-01-01T08-21-46
2019_01_01_08_24_26.rep,LINE RACE,5857,1.034836,0,40,102,False,40,2019-01-01T08-24-26
